group,team,simulations,first_count,second_count,third_count,fourth_count,avg_points,avg_goal_difference,avg_goals_for,prob_first,prob_second,prob_third,prob_fourth,prob_top2
Group A,Mexico,10,6,1,2,1,5.7,3.2,7.3,0.6,0.1,0.2,0.1,0.7
Group A,South Korea,10,3,3,3,1,5.0,2.0,5.8,0.3,0.3,0.3,0.1,0.6
Group A,Czech Republic,10,1,5,2,2,4.3,-0.5,5.4,0.1,0.5,0.2,0.2,0.6
Group A,South Africa,10,0,1,3,6,2.0,-4.7,3.8,0.0,0.1,0.3,0.6,0.1
Group B,Canada,10,5,2,3,0,5.7,1.9,6.0,0.5,0.2,0.3,0.0,0.7
Group B,Qatar,10,2,4,1,3,3.9,-0.4,4.0,0.2,0.4,0.1,0.3,0.6
Group B,Switzerland,10,3,1,4,2,4.3,1.4,5.9,0.3,0.1,0.4,0.2,0.4
Group B,Bosnia & Herzegovina,10,0,3,2,5,2.8,-2.9,3.5,0.0,0.3,0.2,0.5,0.3
Group C,Morocco,10,5,5,0,0,6.2,5.5,8.1,0.5,0.5,0.0,0.0,1.0
Group C,Brazil,10,5,4,1,0,6.1,4.6,7.8,0.5,0.4,0.1,0.0,0.9
Group C,Scotland,10,0,1,8,1,3.3,-1.5,3.8,0.0,0.1,0.8,0.1,0.1
Group C,Haiti,10,0,0,1,9,0.8,-8.6,2.4,0.0,0.0,0.1,0.9,0.0
Group D,USA,10,5,3,2,0,6.0,3.1,5.8,0.5,0.3,0.2,0.0,0.8
Group D,Australia,10,3,4,1,2,3.7,-0.7,3.9,0.3,0.4,0.1,0.2,0.7
Group D,Turkey,10,2,2,4,2,4.0,-0.3,4.0,0.2,0.2,0.4,0.2,0.4
Group D,Paraguay,10,0,1,3,6,2.9,-2.1,3.5,0.0,0.1,0.3,0.6,0.1
Group E,Germany,10,7,3,0,0,6.8,4.7,8.1,0.7,0.3,0.0,0.0,1.0
Group E,Ecuador,10,2,5,2,1,4.7,2.3,6.2,0.2,0.5,0.2,0.1,0.7
Group E,Ivory Coast,10,1,1,6,2,3.3,-1.2,4.4,0.1,0.1,0.6,0.2,0.2
Group E,Curaçao,10,0,1,2,7,1.8,-5.8,2.5,0.0,0.1,0.2,0.7,0.1
Group F,Netherlands,10,6,3,0,1,6.0,4.0,7.7,0.6,0.3,0.0,0.1,0.9
Group F,Japan,10,3,4,2,1,5.3,2.3,6.6,0.3,0.4,0.2,0.1,0.7
Group F,Tunisia,10,1,1,3,5,1.8,-4.8,3.0,0.1,0.1,0.3,0.5,0.2
Group F,Sweden,10,0,2,5,3,3.2,-1.5,3.5,0.0,0.2,0.5,0.3,0.2
Group G,Belgium,10,7,2,1,0,6.9,4.9,8.0,0.7,0.2,0.1,0.0,0.9
Group G,Iran,10,2,4,4,0,5.0,1.8,5.9,0.2,0.4,0.4,0.0,0.6
Group G,Egypt,10,1,4,4,1,4.3,1.1,6.4,0.1,0.4,0.4,0.1,0.5
Group G,New Zealand,10,0,0,1,9,0.6,-7.8,1.8,0.0,0.0,0.1,0.9,0.0
Group H,Spain,10,9,1,0,0,8.0,9.6,11.5,0.9,0.1,0.0,0.0,1.0
Group H,Uruguay,10,1,8,1,0,5.3,2.3,6.4,0.1,0.8,0.1,0.0,0.9
Group H,Cape Verde,10,0,1,1,8,1.2,-7.4,2.4,0.0,0.1,0.1,0.8,0.1
Group H,Saudi Arabia,10,0,0,8,2,2.0,-4.5,3.6,0.0,0.0,0.8,0.2,0.0
Group I,France,10,8,1,1,0,6.7,5.6,8.7,0.8,0.1,0.1,0.0,0.9
Group I,Senegal,10,1,5,4,0,4.2,0.7,5.6,0.1,0.5,0.4,0.0,0.6
Group I,Norway,10,1,4,5,0,4.2,-0.6,5.7,0.1,0.4,0.5,0.0,0.5
Group I,Iraq,10,0,0,0,10,0.9,-5.7,2.9,0.0,0.0,0.0,1.0,0.0
Group J,Argentina,10,6,2,2,0,6.0,4.5,8.1,0.6,0.2,0.2,0.0,0.8
Group J,Austria,10,3,3,4,0,4.5,0.6,5.3,0.3,0.3,0.4,0.0,0.6
Group J,Algeria,10,1,5,2,2,4.1,-0.4,4.0,0.1,0.5,0.2,0.2,0.6
Group J,Jordan,10,0,0,2,8,1.2,-4.7,3.4,0.0,0.0,0.2,0.8,0.0
Group K,Colombia,10,6,3,1,0,6.0,2.7,5.6,0.6,0.3,0.1,0.0,0.9
Group K,Portugal,10,4,5,0,1,5.9,3.2,6.2,0.4,0.5,0.0,0.1,0.9
Group K,Uzbekistan,10,0,2,2,6,1.6,-3.8,3.3,0.0,0.2,0.2,0.6,0.2
Group K,DR Congo,10,0,0,7,3,3.0,-2.1,3.7,0.0,0.0,0.7,0.3,0.0
Group L,England,10,8,2,0,0,7.6,6.8,9.2,0.8,0.2,0.0,0.0,1.0
Group L,Croatia,10,2,8,0,0,6.0,4.0,7.4,0.2,0.8,0.0,0.0,1.0
Group L,Ghana,10,0,0,2,8,1.1,-8.4,2.2,0.0,0.0,0.2,0.8,0.0
Group L,Panama,10,0,0,8,2,2.7,-2.4,3.8,0.0,0.0,0.8,0.2,0.0
