team1,team2,group,ground,team1_goals,team2_goals,prob_team1,prob_draw,prob_team2,result,rating1,rating2,host_country,round
Argentina,Cape Verde,,Miami (Miami Gardens),5,0,0.8079469049413924,0.18531040219998482,0.006742692858622725,team1,1877.266571,1371.10798,USA,Round of 32
Australia,Egypt,,Dallas (Arlington),1,1,0.37215523382522725,0.29219469050660374,0.335650075668169,draw,1579.34264,1562.367246,USA,Round of 32
Belgium,Senegal,,Seattle,2,1,0.44232886306754826,0.27055521231343416,0.2871159246190176,team1,1742.235945,1684.069879,USA,Round of 32
Brazil,Japan,,Houston,2,1,0.48668055718384856,0.25868820490242567,0.2546312379137257,team1,1765.856297,1661.576187,USA,Round of 32
Colombia,Ghana,,Kansas City,3,0,0.755137052814478,0.199273779045547,0.04558916813997506,team1,1698.351858,1346.881205,USA,Round of 32
England,DR Congo,,Atlanta,3,0,0.7570519607658749,0.19883406926392977,0.04411396997019538,team1,1827.048678,1500.0,USA,Round of 32
France,Sweden,,New York/New Jersey (East Rutherford),4,0,0.7721313136101268,0.19526842087496826,0.03260026551490502,team1,1870.696162,1509.785392,USA,Round of 32
Germany,Paraguay,,Boston (Foxborough),3,0,0.7048007856782214,0.21024103970685032,0.08495817461492827,team1,1735.771984,1505.349689,USA,Round of 32
Ivory Coast,Norway,,Dallas (Arlington),1,2,0.30154687523310747,0.2763962752421557,0.4220568495247368,team2,1540.869533,1557.437664,USA,Round of 32
Mexico,Ecuador,,Mexico City,2,1,0.6224719248743009,0.22749374647319137,0.15003432865250763,team1,1687.481759,1598.51582,Mexico,Round of 32
Netherlands,Morocco,,Monterrey (Guadalupe),2,1,0.4143949597527507,0.2786829566159625,0.30692208363128676,team1,1753.571899,1755.100232,Mexico,Round of 32
Portugal,Croatia,,Toronto,2,1,0.5340829290756676,0.24710092024013613,0.2188161506841962,team1,1766.177547,1714.865572,Canada,Round of 32
South Africa,Canada,,Los Angeles (Inglewood),1,2,0.12468336922104781,0.22074226672794983,0.6545743640510023,team2,1428.379282,1559.479301,USA,Round of 32
Spain,Austria,,Los Angeles (Inglewood),3,0,0.7433203545795205,0.20193772483611666,0.05474192058436274,team1,1874.710778,1597.404087,USA,Round of 32
Switzerland,Algeria,,Vancouver,2,1,0.5691438703525707,0.23907793416181064,0.19177819548561864,team1,1650.064179,1571.033293,Canada,Round of 32
USA,Bosnia & Herzegovina,,San Francisco Bay Area (Santa Clara),3,0,0.727698612152204,0.20535864458095715,0.06694274326683884,team1,1671.2341,1387.215771,USA,Round of 32
